"slug","title_en","title_fr","title_ar","excerpt_fr","excerpt_ar","sources","image_url","image_name","langs","published_at","extracted_at","deadline","rubrique_website","themes","organizations","content_fr","content_ar","content_html"
"carnegie-hall-mitsuko-uchida-masterclass-for-pianists-usa-sttgzs","Carnegie Hall: Mitsuko Uchida Masterclass for Pianists (USA)","","","","","https://on-the-move.org/news/carnegie-hall-mitsuko-uchida-masterclass-pianists-usa","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/uchida.jpeg?itok=B5n3AA4t","","EN","2022-12-23 08:00:00","2022-12-26 11:34:25","2023-01-13 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/carnegie-hall-mitsuko-uchida-masterclass-pianists-usa class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>Each season, emerging artists are given valuable access to world-class performers and composers who have established themselves on Carnegie Hall’s stages. In the 2022–2023 season, revered pianist and Carnegie Hall Perspectives artist Mitsuko Uchida works with up-and-coming pianists in a special masterclass on 1 March 2023 in the Resnick Education Wing.</p><p>Mitsuko Uchida’s master class will focus on Mozart piano concertos in a two-piano format. Invited pianists will be asked to bring one Mozart concerto, to be mutually agreed upon with Ms. Uchida, and also be prepared to play the accompanying piano reduction for a fellow participant.</p><p>A travel stipend up to $600 and hotel accommodation are available for invited participants from outside the New York City area.</p></div></div></article></div>"
"allianz-foundation-residency-on-the-road-call-decolonizing-food-omhciz","Allianz Foundation: Residency on the Road Call, ‘Decolonizing Food’","","","","","https://on-the-move.org/news/allianz-foundation-residency-road-call-decolonizing-food","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/tomato.jpg?itok=C0_ammq7","","EN","2022-12-23 08:00:00","2022-12-26 11:34:26","2023-01-10 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/allianz-foundation-residency-road-call-decolonizing-food class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>‘Decolonizing Food: Water, Land and Heritage’ is the first edition of Residency On The Road, the unique Allianz Foundation Hubs residency programme. It aims at bringing together artists, writers, curators, thinkers, activists, chefs, farmers, designers and many more to explore non-conventional food practices.</p><p>The program focuses on food-related practices and topics, questioning conventional food practices and exploring as well as exchanging new agricultural and culinary knowledge. It also focuses on the practical skills needed to cultivate food and collect or disseminate seeds, research relating to livestock and the economics of alimentation and the hegemony of industrialised practices in food production and distribution worldwide. There are no limitations for disciplines to involve. Topics can range from the preservation of biodiversity, urban agriculture, cultivation of local native and non-native varieties, or the mismanagement of water reserves to the possibility of creating distribution networks and fostering economic viability through alternative practices.</p><p>There are two specific phases: the Generative Phase brings together nine artists, thinkers, researchers, activists, chefs, farmers, anthropologists, designers, and other cultural practitioners to spend one week in each of the three participating cities. Each hub will select three residents from their wider region. The travel period will be between March and May 2023. During this period residents will meet the local scenes and convene for artist-led workshops, performances, artist talks and screenings, networking sessions, music events, meetings with activists, thematic tours, cooking sessions and more.</p><p>The Production Phase will follow in the autumn of 2023. All residents are invited, without obligation, to submit a proposal for a project involving at least two of the visited Hubs. The proposal will be evaluated, and if supported, stipends will be made available to realize the project with a dedicated production budget. Curatorial and production support will be given in all stages to accompany the project’s development by the hub and local partners selected together. The funding will be agreed upon individually based on the specific proposal.</p><p>Artists, thinkers, researchers, activists, chefs, farmers, anthropologists, writers, curators, architects, food, fashion, graphic and social designers, and other cultural practitioners based in Istanbul, Kosovo or Sicily can apply.</p><p><strong>The program will cover all costs for travel and accommodation. </strong>A per diem will be given to participants to cover daily expenses. The main language spoken will be English.</p></div></div></article></div>"
"new-now-call-for-contributions-for-festival-of-digital-arts-germany-online-nhrjfs","NEW NOW: Call for Contributions for Festival of Digital Arts (Germany / Online)","","","","","https://on-the-move.org/news/new-now-call-contributions-festival-digital-arts-germany-online","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/hyper-natural-forces.jpg?itok=zUuV41aE","","EN","2022-12-23 08:00:00","2022-12-26 11:34:26","2023-02-15 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/new-now-call-contributions-festival-digital-arts-germany-online class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p><span class=caps>NEW</span> <span class=caps>NOW</span> - Festival for Digital Arts is looking for trailblazing creatives who deal with the relationship between humans, nature and technology. The <span class=caps>NEW</span> <span class=caps>NOW</span> Festival will open on the 1 June 2023 and run until 4 June 2023 with a conference and the ThinkHalle, their virtual festival. The virtual festival as well as Satellite activities will accompany the festival exhibition until the 6 August 2023. </p><p>You can apply with talks, panels, workshops and performances as well as off-stage projects such as audio walks or prototypes, as a venue or creative professionals in the Ruhr region, or with a digital contribution.</p><p>Applications are welcome from the Ruhr region, but the festival are also on the lookout for nationwide and international projects.</p><p>A fee equivalent to an expense allowance will be paid for all selected entries. <strong>Invitation to the conference will also include an expense allowance as well as any travel and accommodation expenses.</strong></p></div></div></article></div>"
"allianz-foundation-risktakers-fellowship-online-germany-npylsi","Allianz Foundation: Risktakers Fellowship (Online / Germany)","","","","","https://on-the-move.org/news/allianz-foundation-risktakers-fellowship-online-germany","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/risktakers.jpg?itok=LAkf5suy","","EN","2022-12-23 08:00:00","2022-12-26 11:34:27","2023-01-15 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/allianz-foundation-risktakers-fellowship-online-germany class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>The Risktakers Fellowship aims to explore the possibilities and what-ifs that enable re-imagining the status quo through a wide range of voices and perspectives. It supports people from Europe and the Mediterranean who, facing the multiple crises of our time, dare to dream and plan equal and diverse futures in the digital space and beyond – for example, by creating digital tools, developing artistic projects or by increasing the visibility and representation of their community.</p><p>The organisers are looking for individuals who rethink our dominant systems and practices by imagining alternative approaches and new possibilities for desirable digital futures. Their artistic work or civil society engagement draws attention to social grievances and inequalities as well as showing possible ways out. With their ideas, prototypes, artworks and campaigns they offer new starting points for equal, inclusive and sustainable digital futures. Applications are encouraged from people who are underrepresented in tech or public and social discourse and therefore less likely to receive support for their work.</p><p>Each fellow will receive a stipend of €10,000 which will be disbursed at a monthly rate of €1250 over the course of eight months. The stipend will support fellows to work on their projects by providing the financial resources necessary to push their idea(s) further. In addition, <strong>each fellow will have access to a budget of up to €2000 for fellowship-related costs, such as mentoring, qualification, and travel expenses</strong>.</p><p>To support and integrate fellows’ networks, each fellow will receive €500 to spend on a Community Flash Grant. With this grant, fellows will be able to support and honour the work of a person or group in their community or communities.</p><p>The fellowship starts in March 2023 and ends in October 2023. In this period of time there will be digital check-ins to connect, share and discuss information on the projects and their processes. The fellows will be invited for a final gathering in Berlin at the end of October 2023.</p></div></div></article></div>"
"resilence-open-call-for-artists-to-design-soundscapes-for-future-cities-zjbczo","ReSilence: Open Call for Artists to Design Soundscapes for Future Cities","","","","","https://on-the-move.org/news/resilence-open-call-artists-design-soundscapes-future-cities","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/resilence.jpeg?itok=8Svj8yd0","","EN","2022-12-23 08:00:00","2022-12-26 11:34:28","2023-03-17 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/resilence-open-call-artists-design-soundscapes-future-cities class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>As part of the S+T+<span class=caps>ARTS</span> programme, the project ReSilence in collaboration with artists is developing technologies to shape in novel ways our urban environments and soundscapes, re-positioning the role of silence and that of sound. To design the soundscape of future cities, ReSilence supports the development of art-driven technologies in the spirit of S+T+<span class=caps>ARTS</span> through the collaboration of artists, architects, urban designers, scientists, engineers and researchers.</p><p>The project is putting forward four different research challenges (<span class=caps>PUC</span>s) where artists can develop their ideas:</p><ul><li><strong>Musical experience design:</strong> Concerts are much more than just the music they feature. Technology brings new ways of enabling participation in concerts– on site and remote. This enables the broadening and deepening of audience experience.</li><li><strong>The New Silence (Sound and mobility):</strong> Electric cars are introducing a new silence in the city. How can we design the interior/exterior car sound, as a combination of ambiance and an audio interface in order to improve security and quality experience in mobility.</li><li><strong>Sound of urban spaces:</strong> One aspect affecting the quality of urban life is sound. Analogous to visual city planning, a soundscape approach can be applied in order to analyse the form and sound of existing spaces, measure its quality and effects on citizens.</li><li><strong>Full-Body Sound Experience:</strong> Traditionally we expect that sound is experienced through our ears. However, nowadays we have the ability to create tools and wearables that can support a full-body approach in experiencing music and sound.</li></ul><p>Artists and pairs of artists-<span class=caps>SME</span>s from all over the world are welcome to submit their proposals. <strong>ReSilence is offering 40,000 euro stipends to selected artists as well as 80,000 euro to <span class=caps>SME</span>s</strong> (of which 30% must also go directly to an artist to aid production of related works). Project proposals should investigate one of four Pilot Use Cases (<span class=caps>PUC</span>s) along with the challenges and opportunities sound and related media offers to urban futures to create artworks and stimulate public dialogue through exhibitions, communication initiatives and/or industry collaborations. The duration of the residency may vary and it is expected to be between 12-18 months.</p></div></div></article></div>"
"ars-baltica-project-assistant-germany-ysynqg","ARS BALTICA: Project Assistant (Germany)","","","","","https://on-the-move.org/news/ars-baltica-project-assistant-germany","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/BSR_cultural-pearls.jpg?itok=-nEz6vcM","","EN","2022-12-23 08:00:00","2022-12-26 11:34:29","2023-01-15 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/ars-baltica-project-assistant-germany class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p><span class=caps>ARS</span> <span class=caps>BALTICA</span> is seeking a project assistant for the coordination of the new Interreg project <span class=caps>BSR</span> Cultural Pearls which aims to enable smaller cities and regions to increase their social resilience and maintain the quality of life with local assets in an innovative way.</p><p>As a multilateral network, <span class=caps>ARS</span> <span class=caps>BALTICA</span> has been promoting cultural exchange and intercultural dialogue in the Baltic Sea Region (<span class=caps>BSR</span>) for 30 years. The initiative communicates at the interface between the project and (<span class=caps>EU</span>) policy. <span class=caps>ARS</span> <span class=caps>BALTICA</span> bring cultural practitioners and stakeholders from the region together to continuously contribute to the international dialogue about culture and creativity in the <span class=caps>BSR</span>. <span class=caps>ARS</span> <span class=caps>BALTICA</span> will be one of 12 partner organisations within the <span class=caps>BSR</span> Cultural Pearls project that will showcase selected cities and regions across the Baltic Sea Region through an award with wide communication activities. The project will be led by the Council of the Baltic Sea States.</p><p><span class=caps>ARS</span> <span class=caps>BALTICA</span> expect the candidate to assume good management and administrative tasks that include communicating, preparing and implementing actions within the <span class=caps>BSR</span> Cultural Pearls project; preparing, running and overseeing main communication activities within the project, organising and preparing ongoing events in the context. </p><p>It would be preferred that the selected candidate starts working as soon as possible but latest 1 March 2023 until December 2025.<strong> <span class=caps>ARS</span> <span class=caps>BALTICA</span> offers a competitive salary based on the Nordkolleg Rendsburg tariff agreements.</strong></p></div></div></article></div>"
"rum-for-dans-co-production-residency-for-a-dance-performance-sweden-xvdcnc","Rum för Dans: Co-production Residency for a Dance Performance (Sweden)","","","","","https://on-the-move.org/news/rum-dans-co-production-residency-dance-performance-sweden","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/rum-dans.jpg?itok=RqdYqjeG","","EN","2022-12-23 08:00:00","2022-12-26 11:34:30","2023-01-15 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/rum-dans-co-production-residency-dance-performance-sweden class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>If you are a professional dance artist, choreographer and/or dance company that has come quite far in the creation of a new dance piece, this residency is for you! Rum för Dans wants to give this residency to somebody who will be ready to premiere their new work at the end of the two-week period at Kungsbacka theater. Kungsbacka theater is well equipped and you will recieve some technical assistance.</p><p>Rum för Dans will become one of your co-producers and the premiere of your piece will be included in the Rum för Dans seasonal programme for autumn 2023.</p><p>Included in the residency:</p><ul><li>Co-production fee of 150,000 <span class=caps>SEK</span> (~13,500 <span class=caps>EUR</span>) will be paid to the company after the residency period. The company must be able to send an invoice.</li><li><strong>Up to an additional 45,000 <span class=caps>SEK</span> (~4000 <span class=caps>EUR</span>) can be added to the invoice for living and travel expenses. </strong>Copy of receipts or contract must be provided. Kungsbacka only has one hotel, but Gothenburg is just 30 minutes away by train. The commuting trains are frequent between Kungsbacka and Gothenburg.</li><li>Access to Kungsbacka theater’s stage 12 x 18 m and existing technical equipment and dance mat. </li><li>Via prior agreement, the technical staff at Kungsbacka theater can be of some support during the residency.</li></ul><p>Professional dance artists and dance companies can apply to this residency. Both Swedish and international applications are welcomed.</p></div></div></article></div>"
"richard-koh-fine-art-residency-for-southeast-asian-artists-singapore-thailand-malaysia-gzvnod","Richard Koh Fine Art: Residency for Southeast Asian Artists (Singapore, Thailand, Malaysia)","","","","","https://on-the-move.org/news/richard-koh-fine-art-residency-southeast-asian-artists-singapore-thailand-malaysia","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/richard-koh.jpg?itok=psVwsIyK","","EN","2022-12-23 08:00:00","2022-12-26 11:34:31","2023-01-15 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/richard-koh-fine-art-residency-southeast-asian-artists-singapore-thailand-malaysia class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>Richard Koh Fine Art (<span class=caps>RKFA</span>) is pleased to introduce an Artist Residency Programme. The programme is slated to start around the second quarter of 2023, spanning over three months and across three countries in Southeast Asia (specific dates will be provided to the successful applicant). The selected applicant will be exposed to different environments within the art industry. Aligning with <span class=caps>RKFA</span>’s core belief of developing an artist’s career, this programme aims to cultivate artistic talent from Southeast Asia, helping the artist to lay the foundations of their future art practice and career.</p><p>Terms and conditions:</p><ul><li><strong>Air tickets and accommodation will be provided over the course of the residency as well as a monthly stipend.</strong></li><li>The artist is responsible for all valid travel documents for entry into the three countries.</li><li>The selected resident has to agree to comply with the prevailing health and safety measures in place across the three countries during the period of their residency (i.e. has received at least 3 vaccination shots). </li></ul><p>Eligibility criteria:</p><ul><li>The applicant has been less than 35 years old.</li><li>The applicant has been a citizen of a Southeast Asian country.</li><li>The applicant has a minimum of 3 months of availability.</li><li>The applicant has to have a working knowledge of English.</li><li>The applicants must have no more than 5 years of experience as a practising artist (i.e. participated in public exhibitions – either commercial or non-commercial).</li></ul></div></div></article></div>"
"democratic-vistas-post-doctoral-fellowships-in-humanities-and-social-sciences-germany-ejfvqj","Democratic Vistas: Post-doctoral Fellowships in Humanities and Social Sciences (Germany)","","","","","https://on-the-move.org/news/democratic-vistas-post-doctoral-fellowships-humanities-and-social-sciences-germany","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/democratic-vistas.jpg?itok=SMuRsnDa","","EN","2022-12-23 08:00:00","2022-12-26 11:34:32","2023-01-31 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/democratic-vistas-post-doctoral-fellowships-humanities-and-social-sciences-germany class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>The Forschungskolleg Humanwissenschaften, the Institute for Advanced Studies in the Humanities of Goethe University Frankfurt, is seeking to appoint up to three post-doctoral fellows in the humanities or social sciences for the academic year 2023/2024.</p><p>Candidates should contribute with their individual research to the research focus Democratic Vistas: Reflections on the Atlantic World and to its outreach platform, the John McCloy Transatlantic Forum. Democratic Vistas looks at democracy from a genuinely interdisciplinary perspective. It understands democracy not only as a form of government, but also as a form of life. Corresponding to this expansive conception of democracy, Democratic Vistas creates a space for dialogue for researchers from a broad range of disciplines in the humanities and social sciences, and it seeks for its cohort of fellows to reflect this disciplinary diversity. Geographically, the programme focuses on the ‘Atlantic World’ in a broad sense. Both classical transatlantic relations and the Atlantic World in its North-South dimension fall under its purview. </p><p>The fellows will be part of the Democratic Vistas academic community, a network of some 25 scholars from different disciplines in the humanities and social sciences at Goethe University, as well as of the community of fellows at the Forschungskolleg Humanwissenschaften.</p><p>Goethe University offer a grant of 2400 €/month. The grant is tax-free in accordance with the provisions of paragraph 3 no. 44 <span class=caps>ES</span>tG (German Income Tax Act). Additional benefits include <strong>a return trip (to a max. of 2000 €) from the fellows’ home / residence town to Frankfurt</strong>; a family allowance when appropriate; a mission allowance of up to 2000 €/year; an office at the Forschungskolleg Humanwissenschaften in Bad Homburg (near Frankfurt); a daily (Mo – Fr) lunch at the Forschungskolleg; academic and general support by the staff of the Forschungskolleg. Apartments in the guesthouse of the Kolleg are available for rent at the fellow’s own cost. </p><p>Fellows are expected to work on their projects and to take part in the academic events organised by the Forschungskolleg or by members of the Democratic Vistas community at Goethe University; participation in the research colloquium of the Kolleg is compulsory. Fellows will be asked to contribute to one or two outreach activities during their research stay (e.g. workshops with advanced high school students).</p><p>Candidates should have completed a doctorate in one of the disciplines represented in the Democratic Vistas group and should have proven potential to conduct and publish research at an international level.</p></div></div></article></div>"
"maajaam-residency-to-create-art-tech-installations-for-wild-bits-outdoor-exhibition-estonia-nofipu","Maajaam: Residency to Create Art & Tech Installations for ‘Wild Bits’ Outdoor Exhibition (Estonia)","","","","","https://on-the-move.org/news/maajaam-residency-create-art-tech-installations-wild-bits-outdoor-exhibition-estonia-0","https://on-the-move.org/sites/default/files/styles/article_desktop_1x/public/news/2022-12/wild-bits.jpeg?itok=txjA4jbl","","EN","2022-12-23 08:00:00","2022-12-26 11:34:33","2023-01-27 23:59:00","culture","culture","","","","<div id=block-otm-content class=""block block-system block-system-main-block""><article role=article about=/news/maajaam-residency-create-art-tech-installations-wild-bits-outdoor-exhibition-estonia-0 class=""node node--type-news-calls node--promoted node--view-mode-full""><div class=node__content><div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""><p>Maajaam is a farm for art and tech situated in South of Estonia. It concentrates on researching, experimenting with and reflecting on the relationships between people, technology and nature. </p><p>Its project Wild Bits is an exhibition concept that proposes a temporary art park in the wilderness. The exhibition looks for points of contact between people, technology and nature. Technological art installations consisting of sounds, lights, texts, sculptures or their online counterparts are placed in natural spaces like forests, fields, swamps and lakes.</p><p>With this open call the residency centre Maajaam are seeking proposals for installations, interventions or processes to be installed/performed in landscapes spread out around Maajaam that explore the human condition in a contemporary technological society. The artworks should withstand outdoor conditions.</p><p>The residency will take place June and August 2023 over around three weeks. The produced works will remain in Maajaam and will be displayed at satellite exhibitions in Estonia, Latvia and Lithuania until 2025. </p><p>In total three to five projects will be selected for the 2023 residency period. The organisers are open to all artists from around the world. <strong>Selected projects receive an artist fee of €2000 and a travel grant. The total maximum production budget per project can be up to €5000 (please submit a preliminary budget). </strong>The production will be assisted by the organisers by providing production facilities, tools, local manufacturing partners, specialised know-how and a smoke sauna experience.</p></div></div></article></div>"
